66.8089,76.8872,82.5173,70.1411,78.6765,65.4432,61.4957,58.614,69.3547,5.9578,58.9786,64.4841,66.2326,73.1259
66.8277,76.8955,82.5325,70.1533,78.7129,65.6739,61.5033,58.6052,69.4066,5.9429,58.9988,64.5021,66.2542,73.1277
66.8464,76.9038,82.5476,70.1655,78.749,65.9023,61.5109,58.5966,69.4584,5.9285,59.0174,64.5203,66.276,73.1291
66.8649,76.9123,82.5627,70.1777,78.7847,66.1273,61.5184,58.5885,69.51,5.9143,59.0345,64.5388,66.2981,73.13
66.8832,76.9208,82.5777,70.1897,78.8198,66.3464,61.5257,58.5812,69.5613,5.9004,59.0502,64.5573,66.3205,73.1304
66.9012,76.9296,82.5925,70.2016,78.8541,66.5576,61.5328,58.5748,69.6121,5.8869,59.0646,64.576,66.343,73.1304
66.9189,76.9387,82.6071,70.2134,78.8874,66.7594,61.5396,58.5696,69.6625,5.8736,59.0779,64.5948,66.3658,73.13
66.9362,76.9481,82.6216,70.225,78.9195,66.9496,61.5462,58.566,69.7122,5.8605,59.0902,64.6138,66.3887,73.1293
66.9529,76.9578,82.6357,70.2364,78.9501,67.1261,61.5523,58.564,69.7611,5.8476,59.1016,64.6328,66.4118,73.1283
66.9691,76.968,82.6496,70.2475,78.9791,67.2875,61.5581,58.564,69.8093,5.8349,59.1121,64.652,66.4351,73.127
66.9846,76.9787,82.6631,70.2584,79.0062,67.4315,61.5633,58.5662,69.8565,5.8223,59.122,64.6712,66.4584,73.1255
66.9994,76.9899,82.6763,70.269,79.0313,67.5561,61.5681,58.5709,69.9026,5.8099,59.1313,64.6905,66.4819,73.1239
67.0135,77.0016,82.689,70.2793,79.0542,67.6596,61.5722,58.5782,69.9476,5.7976,59.1401,64.7099,66.5054,73.122
67.0266,77.0141,82.7014,70.2893,79.0746,67.7401,61.5758,58.5885,69.9914,5.7854,59.1486,64.7292,66.5291,73.1201
67.0389,77.0272,82.7132,70.2988,79.0924,67.7954,61.5786,58.602,70.0337,5.7732,59.1569,64.7486,66.5527,73.118
67.0501,77.041,82.7245,70.3079,79.1073,67.8238,61.5808,58.6189,70.0746,5.761,59.1651,64.7681,66.5764,73.116
67.0603,77.0556,82.7353,70.3166,79.1193,67.8243,61.5821,58.6394,70.114,5.7489,59.1732,64.7875,66.6,73.1139
67.0695,77.0709,82.7456,70.3249,79.1284,67.7993,61.5829,58.663,70.1522,5.7367,59.1815,64.8069,66.6236,73.1119
67.0779,77.0867,82.7556,70.3327,79.1352,67.7524,61.5832,58.6894,70.1894,5.7245,59.19,64.8263,66.6473,73.1099
67.0855,77.1029,82.7652,70.3402,79.1399,67.687,61.5833,58.7179,70.2261,5.7121,59.1988,64.8456,66.6708,73.1081
